valid_from,SKU,brand_name,name,ean,asin,fnksu,weight_kg,tax_code,unit_cost_price_currency_code,unit_cost_price_net,price
15.10.2019,AG-WETSUIT-CONN-SEAG-21-01,Agent Gadgets,Wetsuit Connery with seagull on top XS (ed. 2020),8.42348E+12,B007DFNH2O,X000UVCP91,1.25,A_GEN_STANDARD,EUR,32.30,58.14
15.10.2019,AG-WETSUIT-CONN-SEAG-21-02,Agent Gadgets,Wetsuit Connery with seagull on top S (ed. 2020),8.42348E+12,B007DGNH2O,X000US7UGZ,1.25,A_GEN_STANDARD,EUR,32.30,58.14
15.10.2019,AG-WETSUIT-CONN-SEAG-21-03,Agent Gadgets,Wetsuit Connery with seagull on top M (ed. 2020),8.42348E+12,B007DHNH2O,X000UV6KGX,1.25,A_GEN_STANDARD,EUR,32.30,58.14
15.10.2019,AG-WETSUIT-CONN-SEAG-21-04,Agent Gadgets,Wetsuit Connery with seagull on top L (ed. 2020),8.42348E+12,B007DINH2O,X000UVDNPN,1.25,A_GEN_STANDARD,EUR,32.30,58.14
15.10.2019,AG-WETSUIT-CONN-SEAG-21-05,Agent Gadgets,Wetsuit Connery with seagull on top XL (ed. 2021),8.42348E+12,B007DJNH2O,X000UVZOOX,1.25,A_GEN_STANDARD,EUR,32.30,58.14
15.12.2019,AGS-WATCH-SUBMARINER-MOOR-03,Agent Gadgets Special,Watch Rolex Submariner Moore with magic magnet for deflecting bullets and other things,8.42348E+12,B007DFJM7N,X000UZGX7R,0.25,A_GEN_STANDARD,EUR,1973,3551.4
15.10.2019,AGS-SC-MOONRAKER-21-44,Agent Gadgets Special,Safe Cracker Moonraker incl. X-ray (ed. 2020),8.42348E+12,B007DFX7KL,X000UVDOOH,3.40,A_GEN_STANDARD,EUR,90.90,163.62
15.10.2019,AG-DICE-OCTOPUSSY-MOOR-1,Agent Gadgets,Backgammon Dice Octopussy,8.42348E+12,B07DFZ9XFH,X000UDOCTR,0.05,A_GEN_STANDARD,EUR,4.25,7.65
15.10.2019,AG-LC-FORMCC-MOOR-1985,Agent Gadgets,Lock Cracker Moore in handy credit card format,8.42348E+12,B007DIU2SXX,X000UVG2H2,0.01,A_GEN_STANDARD,EUR,19.85,35.73
15.10.2019,AGS-GRAPHOOK-WAILIN-1997-01,Agent Gadgets Special,Grappling Hook Wai Lin covered as wristband,8.42348E+12,B007DJU1SWB,X000UCSHOT,0.510,A_GEN_STANDARD,EUR,199.70,359.46
15.10.2019,AGS-GRAPHOOK-WAILIN-1997-02,Agent Gadgets Special,Grappling Hook Wai Lin covered as wristband incl. titanium coating,8.42348E+12,B007DJU1TWB,X000UUEH29,0.511,A_GEN_STANDARD,EUR,214,385.2
24.12.2019,AGS-SUNGLASSES-PIERCE-02-19,Agent Gadgets Special,Sunglasses Pierce with X-Ray view,8.42348E+12,B007C1TWB2S,X000GVB9O1,0.16,A_GEN_STANDARD,EUR,199.90,359.82
15.11.2019,AG-RING-SPECTRE-01-01,Agent Gadgets,Ring Spectre engraving black,8.42348E+12,B007C4SPEC2,X000UVQXQ7,0.085,A_GEN_STANDARD,EUR,215.00,387.00
16.11.2019,AGS-EARPIECE-CRAIG-05-2008,Agent Gadgets Special,Quantum Earpiece Craig,8.42348E+12,B007QUSOL31,X000USQCQ1,0.03,A_GEN_STANDARD,EUR,200.80,361.44
15.12.2019,AG-DREAMSIM-GGRAVES-12-03,Agent Gadgets,"Dream Simulator GGraves, healing insomnia on clouds",8.42348E+12,B007DAD2002,X000DAD20Q,12.500,A_GEN_STANDARD,EUR,1200.20,2160.36
15.12.2019,AG-JACKET-PIERCE-20-01,Agent Gadgets,"Avalanche ski jacket Pierce S, can create a sealed sphere for agents in special situations",8.42348E+12,B007TWINE99,X000WNE201,2.300,A_GEN_STANDARD,EUR,80.20,144.36
15.12.2019,AG-JACKET-PIERCE-20-02,Agent Gadgets,"Avalanche ski jacket Pierce M, can create a sealed sphere for agents in special situations",8.42348E+12,B007TWINE100,X000WNE202,2.300,A_GEN_STANDARD,EUR,80.20,144.36
15.12.2019,AG-JACKET-PIERCE-20-03,Agent Gadgets,"Avalanche ski jacket Pierce L, can create a sealed sphere for agents in special situations",8.42348E+12,B007TWINE101,X000WNE203,2.300,A_GEN_STANDARD,EUR,80.20,144.36
15.12.2019,AG-JACKET-PIERCE-20-04,Agent Gadgets,"Avalanche ski jacket Pierce XL, can create a sealed sphere for agents in special situations",8.42348E+12,B007TWINE102,X000WNE204,2.300,A_GEN_STANDARD,EUR,80.20,144.36
15.12.2019,AG-JACKET-PIERCE-20-05,Agent Gadgets,"Avalanche ski jacket Pierce XXL, can create a sealed sphere for agents in special situations",8.42348E+12,B007TWINE103,X000WNE205,2.300,A_GEN_STANDARD,EUR,80.20,144.36
15.10.2019,AGS-REVOLVING-COUCH-TDALTON,Agent Gadgets Special,"Revolving couch with special feature, swallows whoever sits on it",8.42348E+12,B007TLD1987D,X000TLDB02S,120,A_GEN_STANDARD,EUR,198.70,357.66
15.10.2019,AGS-TEATRAY-GOLDENEYE-95-01,Agent Gadgets Special,Tea Tray Goldeneye with secret document scanner function,8.42348E+12,B007GE1995P,X000XRAY95S,0.53,A_GEN_STANDARD,EUR,19.95,35.91
24.12.2019,AG-SHAVER-EAVESDROP-85-01,Agent Gadgets,Shaver Moore with eavesdrop function,8.42348E+12,B007AVTK85M,X000SHAVE85,0.33,A_GEN_STANDARD,EUR,85.00,153.00